ID,KATEGORI,ENTITY,NAMA_ENTITY,FLAG,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON
0,1,F001,Ada - Baik,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
1,1,F005,Tidak ada - Hilang,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
2,1,F004,Ada - Rusak Berat dan tidak dapat di perbaiki,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
3,1,F003,Ada - Rusak Sedang,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
4,1,F002,Ada - Rusak Ringan,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
5,2,P006,PMN Yang belum di PP-KAN,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
6,2,P007,Hibah Dari Non Pemerintah Republik Indonesia,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
7,2,P005,Nasionalisasi,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
8,2,P004,Putusan Pengadilan,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
9,2,P003,Hasil Perjanjian,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
10,2,P002,BPYBDS /Hibah Pemerintah,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
11,2,P001,Pembelian/Investasi,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
12,3,K009,BPKB (Bukti Kepemilikan Kendaraan Bermotor),Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
13,3,K005,HPL (Hak Pengelolaan Lahan),Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
14,3,K004,Hak Pakai/Hak Guna (Capital Lease),Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
15,3,K003,HGB (Hak Guna Bangunan),Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
16,3,K006,STNK (Surat Tanda Nomor Kendaraan),Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
17,3,K001,Hak Milik,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
18,3,K008,Grosse Akta,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
19,3,K007,Girik/Akta Jual - Beli dan Sejenisnya,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
20,3,K002,HGU (Hak Guna Usaha),Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
21,4,H002,Persetujuan Hapus dari Dewan Komisaris,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
22,4,H003,Persetujuan Hapus dari Kementerian BUMN,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
23,4,H004,Surat Direktur Keuangan Penghapusan Aset Tetap,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
24,4,H001,Proses Pengajuan Usul Hapus ,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
25,4,H005,Proses Penghapusan Aset Tetap,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
26,5,O004,Dipakai - Dipinjamkan Pakaikan,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
27,5,O007,Tidak Digunakan,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
28,5,O005,Dipakai Pihak Lain Secara Ilegal,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
29,5,O006,Belum Digunakan/Dipasang,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
30,5,O001,Dipakai Sendiri,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
31,5,O002,Dipakai - Disewakan,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
32,5,O003,Dipakai - Dikerjasamakan,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
33,6,A002,Tidak Diasuransikan,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
34,6,A001,Diasuransikan,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
35,8,G001,Tidak ada - Hilang - Di Usul Hapus,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
36,8,G002,Ada - Rusak Berat dan tidak dapat di perbaiki - Di Usul Hapus,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
37,8,G003,Ada - Rusak Sedang - Diperbaiki,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
38,8,G004,Ada - Rusak Ringan - Diperbaiki,Y,,Thu Jun 08 2023 11:38:34 GMT+0700 (Western Indonesia Time),,
